id,chain_miles,cassette_miles,front_fork_miles,rear_shock_miles,chain_ring_miles,bottom_bracket_miles,sealant_refresh_hours,brake_bleed_miles,brake_pads_miles,brake_rotors_miles,tires_miles,"strava_bike_id","chain_type","cassette_type",dropper_miles
1,1700,1000,1000,1000,1000,2000,2190,1000,1000,2000,900,"b5734928","XX1","",1200
2,400,1000,1000,1000,1000,2000,2190,1000,1000,2000,900,"b7452464","","",1200
3,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,4000,"111","","",1200
4,1700,2500,1000,1000,3000,4000,2190,2000,1000,4000,4000,"b9172296","XX1","XX1",1200
5,1700,2500,1000,1000,3000,4000,2190,2000,1000,4000,4000,"b10084455","XX1","XX1",1200
6,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,4000,"b10089506","","",1200
7,1700,2500,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b8547522","XX1","XX1",1200
8,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b7890530","","",1200
9,1700,2500,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b8998999","X01","Sram X01",1200
10,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b5763100","","",1200
12,1700,2500,1000,1000,2000,4000,2190,2000,1000,4000,2100,"b8604913","XX1","XX1",1200
13,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,4000,"b4550956","","",1200
14,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b4550951","","",1200
15,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b4550947","","",1200
16,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b4550957","","",1200
17,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b4550952","","",1200
18,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b8722233","","",1200
19,400,2500,1000,1000,3000,1000,2190,4000,1000,4000,2000,"b8722228","","Sram X01",1200
20,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b10481900","","",1200
21,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b10481966","","",1200
22,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b10481993","","",1200
23,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b10481994","","",1200
24,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b10482026","","",1200
25,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b10482027","","",1200
26,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b10482029","","",1200
27,1500,1000,1000,1000,3000,4000,2190,5566,456,456,7512,"b10482015","Shimano XT","",1200
28,1700,2500,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b10145659","X01","X01",1200
30,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b10629518","","",1200
31,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b10629520","","",1200
32,0,0,0,0,0,0,2190,0,0,4000,0,"b10439181","","",0
33,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b10438086","","",1200
34,1000,2500,200,200,200,200,2190,200,300,4000,4000,"b10337705","GX","XX1",200
35,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b10684120","","",1200
36,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b10684118","","",1200
37,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b10993652","","",1200
38,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b11068931","","",1200
39,400,1000,1000,1000,3000,4000,2190,2000,1500,4000,2000,"b11164107","","",1200
40,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b11169479","","",1200
41,260,2500,474,474,260,260,2190,2000,1000,4000,474,"b9609983","XX1","XX1",474
42,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b11201100","","",1200
44,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b11340096","","",1200
47,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b10445201","","",1200
48,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b9715469","","",1200
49,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b11069440","","",1200
50,180,180,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b11623695","XX1","",1200
51,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b9368379","","",1200
52,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b6381527","","",1200
53,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b4071116","","",1200
54,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b11555973","","",1200
55,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b2457710","","",1200
56,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b12790506","","",1200
57,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b13174897","","",1200
58,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b13216165","","",1200
59,700,2500,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b13825986","NX","X01",1200
60,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b14038051","","",1200
62,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b13494756","","",1200
63,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b15194529","","",1200
69,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b15358591","","",1200
70,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b9172296","","",1200
73,1700,2500,1500,1500,1500,1500,2190,1500,1500,1500,1500,"b10575939","Sram X01","Sram X01",1500
94,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b4680532","","",1200
95,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b13116942","","",1200
96,400,1000,1000,1000,3000,4000,2190,2000,1000,4000,2000,"b8918764","","",1200
